transakcja_id,konto_id,kwota,data_transakcji,kategoria_wydatku,metoda_platnosci,miasto_transakcji,kraj_transakcji,status_transakcji
500001,10212,20.1,2025-09-24 06:51:48,Paliwo i Transport,BLIK,Gliwice,Polska,Zakonczona
500002,11497,38.99,2025-07-01 18:28:32,Edukacja,Karta,Sosnowiec,Polska,Zakonczona
500003,11188,78.02,2025-10-29 20:36:08,Edukacja,Karta,Katowice,Polska,Zakonczona
500004,11090,57.33,2025-09-03 16:25:41,Zdrowie i Apteki,BLIK,Gliwice,Polska,Zakonczona
500005,10357,65.7,2025-02-13 06:12:50,Paliwo i Transport,BLIK,Gliwice,Polska,Odrzucona
500006,11157,18.17,2025-12-26 13:12:10,Rozrywka i Streaming,BLIK,Zabrze,Polska,Zakonczona
500007,11106,54.2,2025-10-22 08:42:00,Paliwo i Transport,BLIK,Chorzów,Polska,Zakonczona
500008,10546,139.32,2025-01-30 17:45:25,Edukacja,Online,,,Zakonczona
500009,10056,835.13,2025-02-08 22:45:58,Rozrywka i Streaming,Karta,Orzesze,Polska,Zakonczona
500010,11107,27.13,2025-06-16 08:33:16,Paliwo i Transport,Karta,Gliwice,Polska,Zakonczona
500011,10645,21.48,2025-09-01 03:18:25,Elektronika,Online,,,Zakonczona
500012,10539,66.62,2025-12-28 09:23:29,Paliwo i Transport,Karta,gliwice,Polska,Zakonczona
500013,10110,33.4,2025-10-08 17:19:04,Przelew,Przelew Krajowy,,,Zakonczona
500014,10574,43.44,2025-12-08 06:11:29,Supermarkety,BLIK,Sosnowiec ,Polska,Zakonczona
500015,10294,11.72,2025-10-11 11:29:57,Elektronika,BLIK,Gliwice,Polska,Zakonczona
500016,10100,39.17,2025-01-20 11:03:02,Zakupy Odzieżowe,Karta,Mikołów,Polska,Zakonczona
500017,10538,30.47,2025-04-14 06:52:44,Supermarkety,Karta,Katowice,Polska,Zakonczona
500018,11492,68.39,2025-08-07 12:36:01,Supermarkety,Online,,,Odrzucona
500019,10004,266.37,2025-12-23 12:17:03,Edukacja,BLIK,Rybnik,Polska,Zakonczona
500020,11271,41.3,2025-03-08 13:15:24,Restauracje i Bary,BLIK,Chorzów,Polska,Zakonczona
